0:0:0:0:0:0:0:1 - - [21/Jun/2017:10:48:00 -0300] "POST /BodyVIP/TurmaController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:10:48:00 -0300] "GET /BodyVIP/TurmaController?acao=buscaLista HTTP/1.1" 200 2419
0:0:0:0:0:0:0:1 - - [21/Jun/2017:10:48:03 -0300] "GET /BodyVIP/TurmaController?acao=alteraCadastro&codigo=TN783 HTTP/1.1" 200 2877
0:0:0:0:0:0:0:1 - - [21/Jun/2017:10:48:07 -0300] "POST /BodyVIP/TurmaController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:10:48:07 -0300] "GET /BodyVIP/TurmaController?acao=buscaLista HTTP/1.1" 200 2419
0:0:0:0:0:0:0:1 - - [21/Jun/2017:10:48:16 -0300] "GET /BodyVIP/TurmaController?acao=deletaCadastro&codigo=TN783 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:10:48:16 -0300] "GET /BodyVIP/TurmaController?acao=buscaLista HTTP/1.1" 200 2080
0:0:0:0:0:0:0:1 - - [21/Jun/2017:10:48:18 -0300] "GET /BodyVIP/TurmaController?acao=cadastro HTTP/1.1" 200 2851
0:0:0:0:0:0:0:1 - - [21/Jun/2017:10:49:14 -0300] "POST /BodyVIP/salvaCadastroTurma.jsp HTTP/1.1" 200 1865
0:0:0:0:0:0:0:1 - - [21/Jun/2017:10:49:17 -0300] "GET /BodyVIP/TurmaController?acao=buscaLista HTTP/1.1" 200 2080
0:0:0:0:0:0:0:1 - - [21/Jun/2017:10:51:38 -0300] "GET /BodyVIP/AlunoController?acao=buscaLista HTTP/1.1" 200 2334
0:0:0:0:0:0:0:1 - - [21/Jun/2017:10:51:59 -0300] "GET /BodyVIP/TurmaController?acao=cadastro HTTP/1.1" 200 2851
0:0:0:0:0:0:0:1 - - [21/Jun/2017:10:52:25 -0300] "POST /BodyVIP/salvaCadastroTurma.jsp HTTP/1.1" 200 1865
0:0:0:0:0:0:0:1 - - [21/Jun/2017:10:52:26 -0300] "GET /BodyVIP/TurmaController?acao=buscaLista HTTP/1.1" 200 2080
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:09:33 -0300] "GET /BodyVIP/TurmaController?acao=buscaLista HTTP/1.1" 200 2080
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:09:34 -0300] "GET /BodyVIP/TurmaController?acao=cadastro HTTP/1.1" 200 2851
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:09:41 -0300] "POST /BodyVIP/salvaCadastroTurma.jsp HTTP/1.1" 500 2653
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:10:06 -0300] "POST /BodyVIP/salvaCadastroTurma.jsp HTTP/1.1" 200 1865
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:10:39 -0300] "GET /BodyVIP/TurmaController?acao=cadastro HTTP/1.1" 200 2851
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:10:54 -0300] "POST /BodyVIP/salvaCadastroTurma.jsp HTTP/1.1" 200 1865
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:10:57 -0300] "GET /BodyVIP/TurmaController?acao=buscaLista HTTP/1.1" 200 2080
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:11:58 -0300] "GET /BodyVIP/TurmaController?acao=cadastro HTTP/1.1" 200 2851
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:12:09 -0300] "POST /BodyVIP/salvaCadastroTurma.jsp HTTP/1.1" 200 1855
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:12:15 -0300] "GET /BodyVIP/TurmaController?acao=buscaLista HTTP/1.1" 200 2080
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:29:06 -0300] "GET /BodyVIP/home.jsp HTTP/1.1" 200 2764
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:29:07 -0300] "GET /BodyVIP/TurmaController?acao=buscaLista HTTP/1.1" 200 2080
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:29:09 -0300] "GET /BodyVIP/TurmaController?acao=cadastro HTTP/1.1" 200 2851
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:29:22 -0300] "POST /BodyVIP/salvaCadastroTurma.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:29:22 -0300] "GET /BodyVIP/erroCadastro.jsp HTTP/1.1" 200 1799
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:30:15 -0300] "GET /BodyVIP/home.jsp HTTP/1.1" 200 2764
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:30:18 -0300] "GET /BodyVIP/TurmaController?acao=cadastro HTTP/1.1" 200 2851
