127.0.0.1 - - [19/Jun/2017:09:50:14 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [19/Jun/2017:09:50:16 -0300] "GET /BodyVIP/home.jsp HTTP/1.1" 200 2810
0:0:0:0:0:0:0:1 - - [19/Jun/2017:09:50:16 -0300] "GET /BodyVIP/css/style.css HTTP/1.1" 200 6000
0:0:0:0:0:0:0:1 - - [19/Jun/2017:09:50:16 -0300] "GET /BodyVIP/imagens/pattern.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2017:09:50:16 -0300] "GET /BodyVIP/imagens/banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2017:09:50:22 -0300] "GET /BodyVIP/home.jsp HTTP/1.1" 200 2810
0:0:0:0:0:0:0:1 - - [19/Jun/2017:09:50:22 -0300] "GET /BodyVIP/css/style.css HTTP/1.1" 200 6000
0:0:0:0:0:0:0:1 - - [19/Jun/2017:09:50:22 -0300] "GET /BodyVIP/imagens/pattern.png HTTP/1.1" 200 71387
0:0:0:0:0:0:0:1 - - [19/Jun/2017:09:50:22 -0300] "GET /BodyVIP/imagens/banner.jpg HTTP/1.1" 200 28308
0:0:0:0:0:0:0:1 - - [19/Jun/2017:09:50:23 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [19/Jun/2017:09:50:35 -0300] "GET /BodyVIP/AlunoController?acao=cadastro HTTP/1.1" 200 2391
0:0:0:0:0:0:0:1 - - [19/Jun/2017:10:31:46 -0300] "GET /BodyVIP/home.jsp HTTP/1.1" 200 2810
0:0:0:0:0:0:0:1 - - [19/Jun/2017:10:35:04 -0300] "GET /BodyVIP/AlunoController?acao=cadastro HTTP/1.1" 200 2391
0:0:0:0:0:0:0:1 - - [19/Jun/2017:10:36:01 -0300] "POST /BodyVIP/SalvoCadastro.jsp HTTP/1.1" 200 738
0:0:0:0:0:0:0:1 - - [19/Jun/2017:10:36:07 -0300] "GET /BodyVIP/home.jsp HTTP/1.1" 200 2810
0:0:0:0:0:0:0:1 - - [19/Jun/2017:10:36:10 -0300] "GET /BodyVIP/AlunoController?acao=buscaLista HTTP/1.1" 200 4308
0:0:0:0:0:0:0:1 - - [19/Jun/2017:13:02:34 -0300] "GET /BodyVIP/home.jsp HTTP/1.1" 200 2810
0:0:0:0:0:0:0:1 - - [19/Jun/2017:13:02:34 -0300] "GET /BodyVIP/css/style.css HTTP/1.1" 200 6000
0:0:0:0:0:0:0:1 - - [19/Jun/2017:13:02:34 -0300] "GET /BodyVIP/imagens/pattern.png HTTP/1.1" 200 71387
0:0:0:0:0:0:0:1 - - [19/Jun/2017:13:02:34 -0300] "GET /BodyVIP/imagens/banner.jpg HTTP/1.1" 200 28308
0:0:0:0:0:0:0:1 - - [19/Jun/2017:13:03:49 -0300] "GET /BodyVIP/home.jsp HTTP/1.1" 200 2810
0:0:0:0:0:0:0:1 - - [19/Jun/2017:13:03:50 -0300] "GET /BodyVIP/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2017:13:03:50 -0300] "GET /BodyVIP/imagens/pattern.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2017:13:03:50 -0300] "GET /BodyVIP/imagens/banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2017:13:03:51 -0300] "GET /BodyVIP/AlunoController?acao=cadastro HTTP/1.1" 200 2391
0:0:0:0:0:0:0:1 - - [19/Jun/2017:13:03:54 -0300] "GET /BodyVIP/AlunoController?acao=buscaLista HTTP/1.1" 200 4309
0:0:0:0:0:0:0:1 - - [19/Jun/2017:13:04:23 -0300] "GET /BodyVIP/AlunoController?acao=buscaLista HTTP/1.1" 200 4309
0:0:0:0:0:0:0:1 - - [19/Jun/2017:13:04:24 -0300] "GET /BodyVIP/home.jsp HTTP/1.1" 200 2810
0:0:0:0:0:0:0:1 - - [19/Jun/2017:13:04:26 -0300] "GET /BodyVIP/another_page.html HTTP/1.1" 404 1001
0:0:0:0:0:0:0:1 - - [19/Jun/2017:13:07:59 -0300] "GET /BodyVIP/home.jsp HTTP/1.1" 200 2844
0:0:0:0:0:0:0:1 - - [19/Jun/2017:13:07:59 -0300] "GET /BodyVIP/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Jun/2017:13:07:59 -0300] "GET /BodyVIP/imagens/pattern.png HTTP/1.1" 304 -
